"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-27 Elektrische en elektron. Industrie";"2021*";"      53"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2007";"     286"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2008";"     212"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2009";"     180"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2010";"     229"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2015";"     221"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2016";"     225"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2017";"     252"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2018";"     171"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2019";"     169"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2020";"     183"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"26-28 Elektrotechn. en machine-industrie";"2021*";"     203"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2007";"     156"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2008";"     197"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2009";"     135"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2010";"     110"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2015";"     103"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2016";"     116"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2017";"     144"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2018";"     132"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2019";"     123"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2020";"     108"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"29-30 Transportmiddelenindustrie";"2021*";"     112"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2007";"     272"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2008";"     292"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2009";"     258"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2010";"     256"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2015";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2016";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2017";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2018";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2019";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2020";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-33 Overige industrie en reparatie";"2021*";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2007";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2008";"     248"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2009";"     213"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2010";"     213"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2015";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2016";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2017";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2018";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2019";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2020";"       ."
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"31-32 Meubel- en overige industrie";"2021*";"       ."
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2007";"    7839"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2008";"    7738"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2009";"    7736"
"Totaal naar verwerking";"Totaal nuttige toepassing";"10-12 Voedings-, genotmiddelenindustrie";"2010";"    7801"
