"Bedrijfsafvalstoffen";"Nuttige toepassing en eindverwerking";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"Bedrijfsafval (1 000 ton)"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2001";"    2701"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2002";"    2747"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2003";"    2782"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2004";"    3098"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2005";"    3200"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2006";"    2972"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2007";"    3105"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2008";"    3088"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2009";"    2150"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2010";"    2074"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2011";"    2153"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2012";"    2120"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2013";"    2045"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2014";"    2049"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2015";"    2027"
"Totaal naar verwerking";"Totaal bedrijfsafvalstoffen";"24-25 Basismetaal, metaalprod.-industrie";"2016";"    2057"
